date,OUT-01,OUT-02,OUT-03,OUT-04,OUT-05
2024-01-31,53744.04,46616.33,45953.16,31504.18,0.0
2024-02-29,49725.46,43418.33,44546.72,29711.420000000002,0.0
2024-03-31,51932.42,47629.8,47363.71,34843.44,0.0
2024-04-30,53412.1,45763.58,48654.46,33344.0,0.0
2024-05-31,54228.57,46795.65,49676.62,35725.57,0.0
2024-06-30,50965.21,45556.16,45583.630000000005,35268.82,0.0
2024-07-31,55315.47,48409.38,48581.07,36778.59,0.0
2024-08-31,52529.81,48299.1,47079.479999999996,38088.93,0.0
2024-09-30,50082.85,45214.07,43679.05,36634.48,0.0
2024-10-31,54211.8,44319.52,46137.82,37367.5,0.0
2024-11-30,48361.770000000004,45760.74,35344.43,37487.91,0.0
2024-12-31,51839.17,46733.63,33956.33,39547.61,0.0
2025-01-31,51950.64,46488.74,35637.83,38309.0,0.0
2025-02-28,47764.43,42185.99,32165.38,38455.8,0.0
2025-03-31,50549.27,48397.0,34926.77,45970.3,20493.01
2025-04-30,53249.77,47146.15,33777.04,41891.75,19595.41
2025-05-31,52570.1,50158.0,33822.21,44123.43,21221.1
2025-06-30,53254.98,44896.12,32818.26,44699.83,0.0
